ScreenResolution,Cpu,Ram,Gpu,Weight,Price_in_euros,Cpu_Brand,SSD,HDD,Flash_Storage,Hybrid,Performance,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,OpSys_Chrome OS,OpSys_Linux,OpSys_Mac OS X,OpSys_No OS,OpSys_Windows 10,OpSys_Windows 10 S,OpSys_Windows 7,OpSys_macOS,Resolution_Full HD,Resolution_Others,Gpu_Brand_ARM,Gpu_Brand_Intel,Gpu_Brand_Nvidia
IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,Intel Iris Plus Graphics 640,1.37,1339.69,Intel,128,0,0,0,16.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
1440x900,Intel Core i5 1.8GHz,8,Intel HD Graphics 6000,1.34,898.94,Intel,0,0,128,0,16.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,Intel HD Graphics 620,1.86,575.0,Intel,256,0,0,0,16.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16,AMD Radeon Pro 455,1.83,2537.45,Intel,512,0,0,0,32.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,Intel Iris Plus Graphics 650,1.37,1803.6,Intel,256,0,0,0,16.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
1366x768,AMD A9-Series 9420 3GHz,4,AMD Radeon R5,2.1,400.0,AMD,0,500,0,0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,Intel Iris Pro Graphics,2.04,2139.97,Intel,0,0,256,0,32.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
1440x900,Intel Core i5 1.8GHz,8,Intel HD Graphics 6000,1.34,1158.7,Intel,0,0,256,0,16.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,Nvidia GeForce MX150,1.3,1495.0,Intel,512,0,0,0,32.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,1.6,770.0,Intel,256,0,0,0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
1366x768,Intel Core i5 7200U 2.5GHz,4,Intel HD Graphics 620,1.86,393.9,Intel,0,500,0,0,8.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 520,1.86,344.99,Intel,0,500,0,0,8.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16,AMD Radeon Pro 555,1.83,2439.97,Intel,256,0,0,0,32.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,AMD Radeon R5 M430,2.2,498.9,Intel,256,0,0,0,8.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8,Intel HD Graphics 615,0.92,1262.4,Intel,256,0,0,0,16.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,Intel Iris Plus Graphics 640,1.37,1518.55,Intel,256,0,0,0,16.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,AMD Radeon R5 M430,2.2,745.0,Intel,256,0,0,0,16.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16,AMD Radeon Pro 560,1.83,2858.0,Intel,512,0,0,0,32.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,Nvidia GeForce 940MX,2.2,499.0,Intel,0,1000,0,0,16.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,1.22,979.0,Intel,128,0,0,0,16.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
1366x768,Intel Atom x5-Z8350 1.44GHz,2,Intel HD Graphics 400,0.98,191.9,Intel,0,0,32,0,4.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,Nvidia GeForce GTX 1050,2.5,999.0,Intel,128,1000,0,0,16.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
1366x768,AMD E-Series E2-9000e 1.5GHz,4,AMD Radeon R2,1.86,258.0,AMD,0,500,0,0,4.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
